coreid	scientificNameID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	namePublishedInID	acceptedNameUsageID	taxonomicStatus	originalNameUsageID	taxonRemarks	created	modified	references	kingdom	nomenclaturalCode	bibliographicCitation	rightsHolder	license	rights
wfo-0001025782		Solanum agnewiorum	SPECIES	wfo-4000035688	Voronts.	Solanaceae				Solanum 		agnewiorum		sp.		"""Voronts., Phytotaxa 10: 32. 2010., 2010."""	sol-0001025782		accepted					http://solanaceaesource.org/solanaceae/solanum-agnewiorum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025783		Solanum agnoston	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		agnoston		sp.		PhytoKeys 22: 39. 2013.. Submitted.	sol-0001025783		accepted					http://solanaceaesource.org/solanaceae/solanum-agnoston	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025788		Solanum agrimoniifolium	SPECIES	wfo-4000035688	Rydb.	Solanaceae				Solanum 		agrimoniifolium		sp.		"""Rydb., Bull. Torrey Bot. Club 51: 154. 1924., 1924."""	sol-0001025788		accepted					http://solanaceaesource.org/solanaceae/solanum-agrimoniifolium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025792		Solanum ajanhuiri	SPECIES	wfo-4000035688	Juz. & Bukasov	Solanaceae				Solanum 		ajanhuiri		sp.		Trudy Vsesoyuzn. S'ezda Gen. Selekts. Semenov. Plemen. Zhivotnov.3: 605. 1929.. Submitted.	sol-0001025792		accepted					http://solanaceaesource.org/solanaceae/solanum-ajanhuiri	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025804		Solanum alatirameum	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		alatirameum		sp.		"""Bitter, Repert. Spec. Nov. Regni Veg. 16: 88. 1919., 1919."""	sol-0001025804		accepted					http://solanaceaesource.org/solanaceae/solanum-alatirameum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025813		Solanum albicans	SPECIES	wfo-4000035688	(Ochoa) Ochoa	Solanaceae				Solanum 		albicans		sp.		"""(O. ) Ochoa, (C. ) Ochoa, (C. ) Ochoa, (O. ) Ochoa, and (O. ) Ochoa, Phytologia 54: 392. 1983., 1983."""	sol-0001025813		accepted					http://solanaceaesource.org/solanaceae/solanum-albicans	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025825		Solanum albornozii	SPECIES	wfo-4000035688	Correll	Solanaceae				Solanum 		albornozii		sp.		"""Correll and Correll, Wrightia 2: 178. 1961., 1961."""	sol-0001025825		accepted					http://solanaceaesource.org/solanaceae/solanum-albornozii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025838		Solanum aligerum	SPECIES	wfo-4000035688	Schltdl.	Solanaceae				Solanum 		aligerum		sp.		"""Schltdl., Linnaea 19: 301. 1847., 1847."""	sol-0001025838		accepted					http://solanaceaesource.org/solanaceae/solanum-aligerum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025845		Solanum allophyllum	SPECIES	wfo-4000035688	(Miers) Standl.	Solanaceae				Solanum 		allophyllum		sp.		"""Standl. and (M. ) Standl., J. Wash. Acad. Sci. 17: 16. 1927., 1927."""	sol-0001025845		accepted					http://solanaceaesource.org/solanaceae/solanum-allophyllum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001025850		Solanum alphonsei	SPECIES	wfo-4000035688	Dunal	Solanaceae				Solanum 		alphonsei		sp.		"""Dunal and L.  ex Dunal, Prodr. [A. P. de Candolle] 13(1): 69. 1852., 1852."""	sol-0001025850		accepted					http://solanaceaesource.org/solanaceae/solanum-alphonsei	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
