coreid	scientificNameID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	namePublishedInID	acceptedNameUsageID	taxonomicStatus	originalNameUsageID	taxonRemarks	created	modified	references	kingdom	nomenclaturalCode	bibliographicCitation	rightsHolder	license	rights
wfo-0001027369		Solanum cymbalariifolium	SPECIES	wfo-4000035688	Chiov.	Solanaceae				Solanum 		cymbalariifolium		sp.		"""Chiov. and Chiov., Boll. Soc. Bot. Ital. 1925: 107. 1925., 1925."""	sol-0001027369		accepted					http://solanaceaesource.org/solanaceae/solanum-cymbalariifolium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027378		Solanum dalibardiforme	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		dalibardiforme		sp.		"""Bitter and Bitter, Repert. Spec. Nov. Regni Veg. 11: 484. 1913., 1913."""	sol-0001027378		accepted					http://solanaceaesource.org/solanaceae/solanum-dalibardiforme	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027384		Solanum daphnophyllum	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		daphnophyllum		sp.		"""Bitter and Bitter, Repert. Spec. Nov. Regni Veg. 18: 67. 1922., 1922."""	sol-0001027384		accepted					http://solanaceaesource.org/solanaceae/solanum-daphnophyllum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027389		Solanum darienense	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		darienense		sp.		"""S.Knapp, Ann. Missouri Bot. Gard. 73: 738. 1987 [1986]., 1987."""	sol-0001027389		accepted					http://solanaceaesource.org/solanaceae/solanum-darienense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027395		Solanum dasyneuron	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		dasyneuron		sp.		"""S.Knapp, Ann. Missouri Bot. Gard. 72: 563. 1985., 1985."""	sol-0001027395		accepted					http://solanaceaesource.org/solanaceae/solanum-dasyneuron	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027396		Solanum dasyphyllum	SPECIES	wfo-4000035688	Schumach. & Thonn.	Solanaceae				Solanum 		dasyphyllum		sp.		"""S. & Thonn., in Schumach., Beskr. Guin. Pl. 126 [146]. 1827., 1827."""	sol-0001027396		accepted					http://solanaceaesource.org/solanaceae/solanum-dasyphyllum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027449		Solanum deflexiflorum	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		deflexiflorum		sp.		"""Bitter, Repert. Spec. Nov. Regni Veg. 18: 49. 1922., 1922."""	sol-0001027449		accepted					http://solanaceaesource.org/solanaceae/solanum-deflexiflorum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027452		Solanum deflexum	SPECIES	wfo-4000035688	Greenm.	Solanaceae				Solanum 		deflexum		sp.		"""Greenm., Proc. Amer. Acad. 32: 301. 1897., 1897."""	sol-0001027452		accepted					http://solanaceaesource.org/solanaceae/solanum-deflexum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027471		Solanum delicatulum	SPECIES	wfo-4000035688	L.B.Sm. & Downs	Solanaceae				Solanum 		delicatulum		sp.		"""L. B. S. & Downs, Phytologia 10: 424. 1964., 1964."""	sol-0001027471		accepted					http://solanaceaesource.org/solanaceae/solanum-delicatulum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027473		Solanum delitescens	SPECIES	wfo-4000035688	C.V.Morton	Solanaceae				Solanum 		delitescens		sp.		"""C.V.Morton, Revis. Argentine Sp. Solanum 168. 1976., 1976."""	sol-0001027473		accepted					http://solanaceaesource.org/solanaceae/solanum-delitescens	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027483		Solanum demissum	SPECIES	wfo-4000035688	Lindl.	Solanaceae				Solanum 		demissum		sp.		"""Lindl., J. Hort. Soc. London 3: 70, fig. pg. 69. 1848., 1848."""	sol-0001027483		accepted					http://solanaceaesource.org/solanaceae/solanum-demissum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027506		Solanum dennekense	SPECIES	wfo-4000035688	Dammer	Solanaceae				Solanum 		dennekense		sp.		"""Dammer and Dammer, Bot. Jahrb. Syst. 38: 57. 1905., 1905."""	sol-0001027506		accepted					http://solanaceaesource.org/solanaceae/solanum-dennekense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027548		Solanum dichroandrum	SPECIES	wfo-4000035688	Dunal	Solanaceae				Solanum 		dichroandrum		sp.		"""Dunal, Dunal, and P.  ex Dunal, Prodr. [A. P. de Candolle] 13(1): 86. 1852., 1852."""	sol-0001027548		accepted					http://solanaceaesource.org/solanaceae/solanum-dichroandrum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027581		Solanum dillonii	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		dillonii		sp.		"""S.Knapp, PhytoKeys 1: 39. 2010, 2010."""	sol-0001027581		accepted					http://solanaceaesource.org/solanaceae/solanum-dillonii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027584		Solanum dimorphandrum	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		dimorphandrum		sp.		"""S.Knapp, Bull. Nat. Hist. Mus., London, Botany 30: 20. 2000, 2000."""	sol-0001027584		accepted					http://solanaceaesource.org/solanaceae/solanum-dimorphandrum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027600		Solanum diploconos	SPECIES	wfo-4000035688	(Mart.) Bohs	Solanaceae				Solanum 		diploconos		sp.		"""(S. ) Bohs et al., Taxon 44: 584. 1995., 1995."""	sol-0001027600		accepted					http://solanaceaesource.org/solanaceae/solanum-diploconos	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027607		Solanum dissimile	SPECIES	wfo-4000035688	C.V.Morton	Solanaceae				Solanum 		dissimile		sp.		"""C.V.Morton and C.V.Morton, Contr. U.S. Natl. Herb. 29: 52. 1944., 1944."""	sol-0001027607		accepted					http://solanaceaesource.org/solanaceae/solanum-dissimile	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027618		Solanum diversifolium	SPECIES	wfo-4000035688	Dunal	Solanaceae				Solanum 		diversifolium		sp.		"""Dunal, Dunal, and Dunal, Solan. Syn. 8. 1816., 1816."""	sol-0001027618		accepted					http://solanaceaesource.org/solanaceae/solanum-diversifolium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027622		Solanum doddsii	SPECIES	wfo-4000035688	Correll	Solanaceae				Solanum 		doddsii		sp.		"""Correll, Wrightia 2: 186. 1961., 1961."""	sol-0001027622		accepted					http://solanaceaesource.org/solanaceae/solanum-doddsii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027624		Solanum dolichocremastrum	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		dolichocremastrum		sp.		"""Bitter, Repert. Spec. Nov. Regni Veg. 12: 3. 1913., 1913."""	sol-0001027624		accepted					http://solanaceaesource.org/solanaceae/solanum-dolichocremastrum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027626		Solanum dolichorhachis	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		dolichorhachis		sp.		"""Bitter and Bitter, Repert. Spec. Nov. Regni Veg. 11: 490. 1913., 1913."""	sol-0001027626		accepted					http://solanaceaesource.org/solanaceae/solanum-dolichorhachis	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027630		Solanum dolosum	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		dolosum		sp.		"""S.Knapp, Ann. Missouri Bot. Gard. 73: 742. 1987 [1986]., 1987."""	sol-0001027630		accepted					http://solanaceaesource.org/solanaceae/solanum-dolosum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027661		Solanum dulcamara	SPECIES	wfo-4000035688	L.	Solanaceae				Solanum 		dulcamara		sp.		"""L., L., L., L., and L., Sp. Pl. 185. 1753., 1753."""	sol-0001027661		accepted					http://solanaceaesource.org/solanaceae/solanum-dulcamara	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027714		Solanum dulcamaroides	SPECIES	wfo-4000035688	Poir.	Solanaceae				Solanum 		dulcamaroides		sp.		"""Poir., Encycl. (Lamarck) Suppl. 3: 751. 1814., 1814."""	sol-0001027714		accepted					http://solanaceaesource.org/solanaceae/solanum-dulcamaroides	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027720		Solanum dunalianum	SPECIES	wfo-4000035688	Gaudich.	Solanaceae				Solanum 		dunalianum		sp.		"""Gaudich., Voy. Uranie 448. 1828 or 1829., 1828."""	sol-0001027720		accepted					http://solanaceaesource.org/solanaceae/solanum-dunalianum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027757		Solanum edmondstonii	SPECIES	wfo-4000035688	Hook.f.	Solanaceae				Solanum 		edmondstonii		sp.		"""Hook.f. and Hook.f., Trans. Linn. Soc. London 20(2): 201. 1847., 1847."""	sol-0001027757		accepted					http://solanaceaesource.org/solanaceae/solanum-edmondstonii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027765		Solanum ehrenbergii	SPECIES	wfo-4000035688	(Bitter) Rydb.	Solanaceae				Solanum 		ehrenbergii		sp.		"""Rydb., (B. ) Rydb., and Rydb., Bull. Torrey Bot. Club 51: 169. 1924., 1924."""	sol-0001027765		accepted					http://solanaceaesource.org/solanaceae/solanum-ehrenbergii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027807		Solanum elvasioides	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		elvasioides		sp.		"""S.Knapp, Ann. Missouri Bot. Gard. 95: 434. 2008, 2008."""	sol-0001027807		accepted					http://solanaceaesource.org/solanaceae/solanum-elvasioides	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027816		Solanum endoadenium	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		endoadenium		sp.		"""Bitter, Repert. Spec. Nov. Regni Veg. 12: 546. 1913., 1913."""	sol-0001027816		accepted					http://solanaceaesource.org/solanaceae/solanum-endoadenium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027819		Solanum endopogon	SPECIES	wfo-4000035688	(Bitter) Bohs	Solanaceae				Solanum 		endopogon		sp.		"""Bohs et al., Taxon 44: 585. 1995., 1995."""	sol-0001027819		accepted					http://solanaceaesource.org/solanaceae/solanum-endopogon	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027834		Solanum erianthum	SPECIES	wfo-4000035688	D.Don	Solanaceae				Solanum 		erianthum		sp.		"""D.Don, D.  ex D.Don, and D.  ex D.Don, Prodr. Fl. Nep. 96. 1825., 1825."""	sol-0001027834		accepted					http://solanaceaesource.org/solanaceae/solanum-erianthum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027843		Solanum erosomarginatum	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		erosomarginatum		sp.		"""S.Knapp, Brittonia 38: 273. 1986., 1986."""	sol-0001027843		accepted					http://solanaceaesource.org/solanaceae/solanum-erosomarginatum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027847		Solanum erythracanthum	SPECIES	wfo-4000035688	Dunal	Solanaceae				Solanum 		erythracanthum		sp.		"""Dunal, Prodr. [A. P. de Candolle] 13(1): 201. 1852., 1852."""	sol-0001027847		accepted					http://solanaceaesource.org/solanaceae/solanum-erythracanthum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027872		Solanum etuberosum	SPECIES	wfo-4000035688	Lindl.	Solanaceae				Solanum 		etuberosum		sp.					accepted					http://solanaceaesource.org/solanaceae/solanum-etuberosum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027880		Solanum evolvulifolium	SPECIES	wfo-4000035688	Greenm.	Solanaceae				Solanum 		evolvulifolium		sp.		"""G.  ex Donn.Sm., Bot. Gaz. 37: 211. 1904., 1904."""	sol-0001027880		accepted					http://solanaceaesource.org/solanaceae/solanum-evolvulifolium	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027881		Solanum evolvuloides	SPECIES	wfo-4000035688	Giacomin & Stehmann	Solanaceae				Solanum 		evolvuloides		sp.		"""G. & Stehmann, PhytoKeys 7: 3. 2011., 2011."""	sol-0001027881		accepted					http://solanaceaesource.org/solanaceae/solanum-evolvuloides	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027882		Solanum evonymoides	SPECIES	wfo-4000035688	Sendtn.	Solanaceae				Solanum 		evonymoides		sp.		"""Sendtn., Flora 24, Beibl. 2: 87. 1841., 1841."""	sol-0001027882		accepted					http://solanaceaesource.org/solanaceae/solanum-evonymoides	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027889		Solanum exiguum	SPECIES	wfo-4000035688	Bohs	Solanaceae				Solanum 		exiguum		sp.		"""(S. ) Bohs et al., Taxon 44: 584. 1995., 1995."""	sol-0001027889		accepted					http://solanaceaesource.org/solanaceae/solanum-exiguum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027901		Solanum falconense	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		falconense		sp.		"""S.Knapp, Bull. Br. Mus. Nat. Hist. (Bot.) 19: 103. 1989., 1989."""	sol-0001027901		accepted					http://solanaceaesource.org/solanaceae/solanum-falconense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027902		Solanum fallax	SPECIES	wfo-4000035688	Bohs	Solanaceae				Solanum 		fallax		sp.		"""Bohs et al., Taxon 44: 585. 1995., 1995."""	sol-0001027902		accepted					http://solanaceaesource.org/solanaceae/solanum-fallax	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027929		Solanum fernandezianum	SPECIES	wfo-4000035688	Phil.	Solanaceae				Solanum 		fernandezianum		sp.		"""Phil., Linnaea 29: 23. 1857-1858., 1857."""	sol-0001027929		accepted					http://solanaceaesource.org/solanaceae/solanum-fernandezianum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027948		Solanum fiebrigii	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		fiebrigii		sp.		"""Bitter and Bitter, Repert. Spec. Nov. Regni Veg. 10: 556. 1912., 1912."""	sol-0001027948		accepted					http://solanaceaesource.org/solanaceae/solanum-fiebrigii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027961		Solanum flaccidum	SPECIES	wfo-4000035688	Vell.	Solanaceae				Solanum 		flaccidum		sp.		"""Vell., Fl. Flumin. 87. 1829; Icones 2, tab. 115. 1831., 1829."""	sol-0001027961		accepted					http://solanaceaesource.org/solanaceae/solanum-flaccidum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001027966		Solanum flahaultii	SPECIES	wfo-4000035688	Bitter	Solanaceae				Solanum 		flahaultii		sp.		"""Bitter, Repert. Spec. Nov. Regni Veg. 12: 57. 1913., 1913."""	sol-0001027966		accepted					http://solanaceaesource.org/solanaceae/solanum-flahaultii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028014		Solanum forskalii	SPECIES	wfo-4000035688	Dunal	Solanaceae				Solanum 		forskalii		sp.		"""Dunal, Dunal, and Dunal, Hist. Nat. Solanum 237. 1813., 1813."""	sol-0001028014		accepted					http://solanaceaesource.org/solanaceae/solanum-forskalii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028017		Solanum fortunense	SPECIES	wfo-4000035688	Bohs	Solanaceae				Solanum 		fortunense		sp.		"""(S. ) Bohs et al., Taxon 44: 584. 1995., 1995."""	sol-0001028017		accepted					http://solanaceaesource.org/solanaceae/solanum-fortunense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028033		Solanum friburgense	SPECIES	wfo-4000035688	Giacomin & Stehmann	Solanaceae				Solanum 		friburgense		sp.		PhytoKeys 38: 78. 2014.. Submitted.	sol-0001028033		accepted					http://solanaceaesource.org/solanaceae/solanum-friburgense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028067		Solanum fusiforme	SPECIES	wfo-4000035688	L.B.Sm. & Downs	Solanaceae				Solanum 		fusiforme		sp.		"""L. B. S. & Downs and L. B. S. & Downs, Phytologia 10: 431. 1964., 1964."""	sol-0001028067		accepted					http://solanaceaesource.org/solanaceae/solanum-fusiforme	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028069		Solanum galapagense	SPECIES	wfo-4000035688	S.C.Darwin & Peralta	Solanaceae				Solanum 		galapagense		sp.		"""S. C. D. & Peralta, Syst. Biodivers. 1(1): 45 2003., 2003."""	sol-0001028069		accepted					http://solanaceaesource.org/solanaceae/solanum-galapagense	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028075		Solanum gandarillasii	SPECIES	wfo-4000035688	C?rdenas	Solanaceae				Solanum 		gandarillasii		sp.		"""C?rdenas, Bol. Soc. Peruana Bot. 5: 16. 1956., 1956."""	sol-0001028075		accepted					http://solanaceaesource.org/solanaceae/solanum-gandarillasii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028076		Solanum garcia-barrigae	SPECIES	wfo-4000035688	Ochoa	Solanaceae				Solanum 		garcia-barrigae		sp.		"""Ochoa, Biota 11(90) : 221. 1978., 1978."""	sol-0001028076		accepted					http://solanaceaesource.org/solanaceae/solanum-garcia-barrigae	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028105		Solanum gertii	SPECIES	wfo-4000035688	S.Knapp	Solanaceae				Solanum 		gertii		sp.		"""S.Knapp, Brittonia 44: 67. 1992., 1992."""	sol-0001028105		accepted					http://solanaceaesource.org/solanaceae/solanum-gertii	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028109		Solanum giganteum	SPECIES	wfo-4000035688	Jacq.	Solanaceae				Solanum 		giganteum		sp.		"""Jacq., Collectanea [Jacquin] 4: 125. 1791., 1791."""	sol-0001028109		accepted					http://solanaceaesource.org/solanaceae/solanum-giganteum	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
wfo-0001028115		Solanum gilioides	SPECIES	wfo-4000035688	Rusby	Solanaceae				Solanum 		gilioides		sp.		"""Rusby and Rusby, Mem. Torrey Bot. Club 4: 228. 1895., 1895."""	sol-0001028115		accepted					http://solanaceaesource.org/solanaceae/solanum-gilioides	Plantae	ICBN	CC0 1.0 Universal (CC0 1.0). https://creativecommons.org/publicdomain/zero/1.0	World Flora Online Consortium	https://creativecommons.org/publicdomain/zero/1.0	CC0 1.0 Universal (CC0 1.0).
